"concept","frequency","relative_frequency-across_texts","relative_percentage-across_texts","tf-idf","Action","Evaluation","Node Type","Potency","gram_type","meta","number_of_texts"
"president","20","0.038834951456310676","0.0014422730222831183","0.001971408776610354"," "," ",""," ","single","UNKNOWN","13"
"plastic","3","0.005825242718446602","2.1634095334246772E-4","8.50614905759932E-4"," "," ",""," ","single","unknown","1"
"advocacy","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"augment","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","task","1"
"iyong","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"binibigay","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"roll","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"detrimental","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"materials","3","0.005825242718446602","2.1634095334246772E-4","6.129400758757228E-4"," "," ",""," ","single","unknown","3"
"gloria","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","UNKNOWN","2"
"event","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"movement","3","0.005825242718446602","2.1634095334246772E-4","6.129400758757228E-4"," "," ",""," ","single","UNKNOWN","3"
"role","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"cage","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"nga","3","0.005825242718446602","2.1634095334246772E-4","7.006587839109498E-4"," "," ",""," ","single","UNKNOWN","2"
"marie","3","0.005825242718446602","2.1634095334246772E-4","7.006587839109498E-4"," "," ",""," ","single","UNKNOWN","2"
"fes","4","0.007766990291262136","2.8845460445662364E-4","7.342702160826237E-4"," "," ",""," ","single","UNKNOWN","4"
"essential","2","0.003883495145631068","1.4422730222831182E-4","5.670766038399547E-4"," "," ",""," ","single","UNKNOWN","1"
"asset","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4","0.56","2.42","","1.78","single","unknown","1"
"gasoline","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"llandelar","2","0.003883495145631068","1.4422730222831182E-4","5.670766038399547E-4"," "," ",""," ","single","UNKNOWN","1"
"told","20","0.038834951456310676","0.0014422730222831183","0.0015844988658947283","0.21  ","  1.68","","  1.45","single","task","17"
"answer","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","unknown","2"
"lumalabas","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"mage","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"shorelines","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"regard","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","unknown","2"
"meet","4","0.007766990291262136","2.8845460445662364E-4","8.172534345009637E-4"," "," ",""," ","single","unknown","3"
"toll","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"naghahanda","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"touch","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","UNKNOWN","2"
"authorities","25","0.04854368932038835","0.0018028412778538978","0.0019806235823684104"," "," ",""," ","single","unknown","17"
"exacerbate","2","0.003883495145631068","1.4422730222831182E-4","5.670766038399547E-4"," "," ",""," ","single","UNKNOWN","1"
"quality","3","0.005825242718446602","2.1634095334246772E-4","6.129400758757228E-4"," "," ",""," ","single","unknown","3"
"components","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"mobilization","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"disast","25","0.04854368932038835","0.0018028412778538978","0.0015996668259192737"," "," ",""," ","single","agent","21"
"manila_bay_oil_spill_contingency_plan","515","1.0","0.037138530323790296","0.0","-0.97  ","  -0.52","","  0.73","ngram","agent","51"
"monsoon","8","0.015533980582524271","5.769092089132473E-4","0.0010686574405679612"," "," ",""," ","single","UNKNOWN","8"
"situational","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"dissipate","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","task","2"
"sanctuary","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"john","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4","1.11","-3.71","","0.43","single","agent","1"
"greg","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"commerci","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"biggest","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4","  0.19","  0.7","","  0.84","single","unknown","2"
"caretakers","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"net","5","0.009708737864077669","3.6056825557077957E-4","0.0011677646398515831"," "," ",""," ","single","UNKNOWN","2"
"mirola","2","0.003883495145631068","1.4422730222831182E-4","5.670766038399547E-4"," "," ",""," ","single","UNKNOWN","1"
"relief","4","0.007766990291262136","2.8845460445662364E-4","8.172534345009637E-4"," "," ",""," ","single","unknown","3"
"inquiry","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4","0.17","0.87","","1.235","single","UNKNOWN","1"
"guidelines","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"preventive","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"trias","3","0.005825242718446602","2.1634095334246772E-4","8.50614905759932E-4"," "," ",""," ","single","UNKNOWN","1"
"cavites","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"mention","4","0.007766990291262136","2.8845460445662364E-4","8.172534345009637E-4"," "," ",""," ","single","UNKNOWN","3"
"contaminants","6","0.011650485436893204","4.3268190668493544E-4","0.0012258801517514455"," "," ",""," ","single","UNKNOWN","3"
"loyzaga","5","0.009708737864077669","3.6056825557077957E-4","0.0014176915095998868"," "," ",""," ","single","UNKNOWN","1"
"kadiwa","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"hangin","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"experts","4","0.007766990291262136","2.8845460445662364E-4","7.342702160826237E-4"," "," ",""," ","single","unknown","4"
"formally","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"newslett","12","0.02330097087378641","8.653638133698709E-4","0.0012521113287110336"," "," ",""," ","single","UNKNOWN","12"
"markets","4","0.007766990291262136","2.8845460445662364E-4","8.172534345009637E-4","-0.97  ","  -0.52","","  0.73","single","UNKNOWN","3"
"illegal","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"drainage","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"velayo_jr","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","ngram","agent","2"
"play_on","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","ngram","UNKNOWN","1"
"hazard","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"suffer","3","0.005825242718446602","2.1634095334246772E-4","6.129400758757228E-4"," "," ",""," ","single","task","3"
"bilyon","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"pinasok","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"capacity-build","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"solar","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"journalists","3","0.005825242718446602","2.1634095334246772E-4","6.129400758757228E-4"," "," ",""," ","single","UNKNOWN","3"
"labor","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","agent","1"
"bureaus","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","unknown","2"
"analyze","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","task","1"
"spill-hit","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"advocates","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"expertise","2","0.003883495145631068","1.4422730222831182E-4","5.670766038399547E-4","0.68","1.38","","1.26","single","unknown","1"
"ports","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","unknown","2"
"red","7","0.013592233009708738","5.047955577990914E-4","0.0012849728781445912"," "," ",""," ","single","unknown","4"
"days","35","0.06796116504854369","0.002523977788995457","0.002239533556286983"," "," ",""," ","single","unknown","21"
"peoples","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","unknown","2"
"philippine_satellite_agency","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","ngram","organization","1"
"tumulong","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"advice","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4","  0.61","  2.65","","2.38  ","single","unknown","2"
"of_course","3","0.005825242718446602","2.1634095334246772E-4","6.129400758757228E-4","  0.52","  0.9","","  1.155","ngram","UNKNOWN","3"
"sampl","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","unknown","2"
"zone","10","0.019417475728155338","7.211365111415591E-4","0.0011749048386314848"," "," ",""," ","single","unknown","10"
"ensu","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"suspend","2","0.003883495145631068","1.4422730222831182E-4","5.670766038399547E-4"," "," ",""," ","single","unknown","1"
"resources","10","0.019417475728155338","7.211365111415591E-4","0.0011749048386314848"," "," ",""," ","single","unknown","10"
"ncr","3","0.005825242718446602","2.1634095334246772E-4","6.129400758757228E-4"," "," ",""," ","single","UNKNOWN","3"
"change","3","0.005825242718446602","2.1634095334246772E-4","6.129400758757228E-4","  2.02","  1.77","","  -0.7","single","UNKNOWN","3"
"drop","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","task","2"
"consumption","17","0.03300970873786408","0.0012259320689406504","0.002126503060618577"," "," ",""," ","single","unknown","9"
"regulations","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"lead","12","0.02330097087378641","8.653638133698709E-4","0.0013274078257093432"," "," ",""," ","single","UNKNOWN","11"
"hanggang","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","UNKNOWN","2"
"kong","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"capital","3","0.005825242718446602","2.1634095334246772E-4","7.006587839109498E-4"," "," ",""," ","single","UNKNOWN","2"
"expenses","2","0.003883495145631068","1.4422730222831182E-4","5.670766038399547E-4"," "," ",""," ","single","UNKNOWN","1"
"cabe","2","0.003883495145631068","1.4422730222831182E-4","5.670766038399547E-4"," "," ",""," ","single","UNKNOWN","1"
"medical","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","UNKNOWN","2"
"mussel","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","unknown","2"
"personnel","21","0.040776699029126215","0.001514386673397274","0.0017555329285480232"," "," ",""," ","single","UNKNOWN","16"
"description","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"aquaculture","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"jam","2","0.003883495145631068","1.4422730222831182E-4","5.670766038399547E-4"," "," ",""," ","single","UNKNOWN","1"
"mag-panic","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"tons","3","0.005825242718446602","2.1634095334246772E-4","7.006587839109498E-4"," "," ",""," ","single","unknown","2"
"salvage","20","0.038834951456310676","0.0014422730222831183","0.0015844988658947283"," "," ",""," ","single","unknown","17"
"alongside","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","unknown","2"
"call_for","3","0.005825242718446602","2.1634095334246772E-4","7.006587839109498E-4"," "," ",""," ","ngram","UNKNOWN","2"
"involves","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","task","1"
"watch","3","0.005825242718446602","2.1634095334246772E-4","6.129400758757228E-4"," "," ",""," ","single","UNKNOWN","3"
"yesterday","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","UNKNOWN","2"
"canvas","3","0.005825242718446602","2.1634095334246772E-4","6.129400758757228E-4"," "," ",""," ","single","UNKNOWN","3"
"advises","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","task","1"
"label","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"sluggish","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"criticism","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"country","9","0.017475728155339806","6.490228600274032E-4","0.001388951862080222","  0.77","  -2.67","","  -0.43","single","unknown","6"
"mabigat","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"ilalim","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"leak","46","0.08932038834951456","0.003317227951251172","0.0022349129845194208"," "," ",""," ","single","UNKNOWN","26"
"leav","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","UNKNOWN","2"
"readies","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","UNKNOWN","2"
"areas","51","0.09902912621359224","0.0036777962068219516","0.0032633203248753186","  0.59","  1.64","","  0.34","single","unknown","21"
"make","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"roll-off","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"span","3","0.005825242718446602","2.1634095334246772E-4","6.129400758757228E-4"," "," ",""," ","single","unknown","3"
"update","3","0.005825242718446602","2.1634095334246772E-4","6.129400758757228E-4"," "," ",""," ","single","unknown","3"
"cumulative","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"justice","23","0.04466019417475728","0.001658613975625586","0.001922726540790692"," "," ",""," ","single","UNKNOWN","16"
"displac","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"coasts","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"identifi","5","0.009708737864077669","3.6056825557077957E-4","9.178377701032796E-4"," "," ",""," ","single","agent","4"
"scientists","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"matanggal","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"harbor_bulk_terminal_corp","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","ngram","organization","1"
"dilg","5","0.009708737864077669","3.6056825557077957E-4","0.0011677646398515831","  0.82","  0.78","","  1.1","single","UNKNOWN","2"
"complaints","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","unknown","2"
"business","3","0.005825242718446602","2.1634095334246772E-4","7.006587839109498E-4","  1.65","1.44  ","","  1.98","single","unknown","2"
"depots","4","0.007766990291262136","2.8845460445662364E-4","0.0011341532076799095"," "," ",""," ","single","unknown","1"
"completely","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","unknown","2"
"declar","17","0.03300970873786408","0.0012259320689406504","0.0014211457040626853"," "," ",""," ","single","unknown","16"
"22-year-old","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"lament","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4","1.42","2.07","","2.29","single","unknown","1"
"fuel","120","0.23300970873786409","0.008653638133698708","0.0018886873817265562","  1.47","3.0  ","","  2.59","single","unknown","41"
"graduat","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"locus","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"seaboards","2","0.003883495145631068","1.4422730222831182E-4","5.670766038399547E-4"," "," ",""," ","single","UNKNOWN","1"
"maram","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"population","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"updates","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","unknown","2"
"noticeable","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"estimates","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","unknown","2"
"interventions","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"manag","3","0.005825242718446602","2.1634095334246772E-4","6.129400758757228E-4"," "," ",""," ","single","unknown","3"
"quezon","6","0.011650485436893204","4.3268190668493544E-4","9.259679080534812E-4"," "," ",""," ","single","UNKNOWN","6"
"congressional","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"layer","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"optimistically","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"laboratory","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"minimize","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","task","1"
"denrs","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"heavier","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"securely","2","0.003883495145631068","1.4422730222831182E-4","5.670766038399547E-4"," "," ",""," ","single","UNKNOWN","1"
"nbi","5","0.009708737864077669","3.6056825557077957E-4","0.0010215667931262047"," "," ",""," ","single","UNKNOWN","3"
"main","3","0.005825242718446602","2.1634095334246772E-4","6.129400758757228E-4"," "," ",""," ","single","UNKNOWN","3"
"outcomes","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"entire","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"kagaya_ng_sinabi_ni","3","0.005825242718446602","2.1634095334246772E-4","8.50614905759932E-4"," "," ",""," ","ngram","agent","1"
"inside","8","0.015533980582524271","5.769092089132473E-4","0.001145692930652059"," "," ",""," ","single","UNKNOWN","7"
"mahalagang","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"venture","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"nat","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"assessment","13","0.02524271844660194","9.374774644840268E-4","0.0020062638007825426"," "," ",""," ","single","UNKNOWN","6"
"albeit","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"mailabas","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"take_five","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","ngram","UNKNOWN","1"
"cavite_city","4","0.007766990291262136","2.8845460445662364E-4","7.342702160826237E-4"," "," ",""," ","ngram","location","4"
"jobs","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","unknown","2"
"lower","3","0.005825242718446602","2.1634095334246772E-4","6.129400758757228E-4"," "," ",""," ","single","task","3"
"diverse","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","UNKNOWN","2"
"liability","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","unknown","2"
"washington-bas","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"aries","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"absorption","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"help","18","0.03495145631067961","0.0012980457200548064","0.0015885164613253107","  0.97 -0.58","  2.42 1.99","","  1.66 2.07","single","unknown","15"
"interagency","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"village","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4","0.81","1.82","","1.5","single","unknown","1"
"norm","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"support—the","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"social","4","0.007766990291262136","2.8845460445662364E-4","7.342702160826237E-4"," "," ",""," ","single","UNKNOWN","4"
"carries","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"report","39","0.07572815533980583","0.0028124323934520805","0.001587701904289047"," "," ",""," ","single","UNKNOWN","29"
"presbitero","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"local_government","10","0.019417475728155338","7.211365111415591E-4","0.0012508841533050454"," "," ",""," ","ngram","organization","9"
"capability","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","unknown","2"
"odor","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"basta","2","0.003883495145631068","1.4422730222831182E-4","5.670766038399547E-4"," "," ",""," ","single","unknown","1"
"support","6","0.011650485436893204","4.3268190668493544E-4","9.259679080534812E-4"," "," ",""," ","single","unknown","6"
"manila_bay","27","0.05242718446601942","0.0019470685800822096","0.002817250489599826"," "," ",""," ","ngram","location","12"
"puerto_galera","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","ngram","agent","1"
"tumalon","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"health","23","0.04466019417475728","0.001658613975625586","0.0028770335526016044","  1.47","3.0  ","","  2.59","single","agent","9"
"tayong","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"ganun","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"p350","4","0.007766990291262136","2.8845460445662364E-4","7.342702160826237E-4"," "," ",""," ","single","UNKNOWN","4"
"p351","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"regain","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"rosa","2","0.003883495145631068","1.4422730222831182E-4","5.670766038399547E-4"," "," ",""," ","single","UNKNOWN","1"
"arriv","4","0.007766990291262136","2.8845460445662364E-4","7.342702160826237E-4"," "," ",""," ","single","UNKNOWN","4"
"antique","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","UNKNOWN","2"
"rescu","14","0.027184466019417475","0.0010095911155981827","0.0014607965501628726","2.14  ","  3.14","","  2.93","single","UNKNOWN","12"
"roro","2","0.003883495145631068","1.4422730222831182E-4","5.670766038399547E-4"," "," ",""," ","single","UNKNOWN","1"
"mandate","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"assistance","12","0.02330097087378641","8.653638133698709E-4","0.0014098858063577818","  0.59","  1.64","","  0.34","single","unknown","10"
"pagpapasya","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"easily","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"thought","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","task","1"
"express","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"space","2","0.003883495145631068","1.4422730222831182E-4","5.670766038399547E-4"," "," ",""," ","single","agent","1"
"build","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","UNKNOWN","2"
"seepage","3","0.005825242718446602","2.1634095334246772E-4","8.50614905759932E-4"," "," ",""," ","single","UNKNOWN","1"
"manuel_lukban_jr","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","ngram","agent","1"
"distance","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"tests","3","0.005825242718446602","2.1634095334246772E-4","6.129400758757228E-4"," "," ",""," ","single","unknown","3"
"philippine","12","0.02330097087378641","8.653638133698709E-4","0.0014098858063577818"," "," ",""," ","single","UNKNOWN","10"
"mangos","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"fast-track","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","task","1"
