"concept","frequency","relative_frequency-across_texts","relative_percentage-across_texts","tf-idf","Action","Evaluation","Node Type","Potency","gram_type","meta","number_of_texts"
"turn","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","UNKNOWN","2"
"disturbance","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","UNKNOWN","2"
"mtkr_jason_bradley","41","0.07961165048543689","0.002956659695680392","0.0024859097392374995"," "," ",""," ","ngram","agent","22"
"ganchoon","4","0.007766990291262136","2.8845460445662364E-4","0.0011341532076799095"," "," ",""," ","single","unknown","1"
"andito","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"magdedeklara","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"involv","26","0.05048543689320388","0.0018749549289680536","0.00256283140959346"," "," ",""," ","single","UNKNOWN","13"
"impacts","10","0.019417475728155338","7.211365111415591E-4","0.0013358218007099515"," "," ",""," ","single","UNKNOWN","8"
"vessels","44","0.0854368932038835","0.0031730006490228602","0.003304533820757128"," "," ",""," ","single","unknown","18"
"declare","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"buhay","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"unusually","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"crime","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4","0.77","-2.67","","-0.43","single","UNKNOWN","2"
"shogun_ships_company_inc","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","ngram","agent","1"
"own","7","0.013592233009708738","5.047955577990914E-4","0.0010802958927290615"," "," ",""," ","single","UNKNOWN","6"
"fellow","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"ngunit","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"face","3","0.005825242718446602","2.1634095334246772E-4","7.006587839109498E-4"," "," ",""," ","single","UNKNOWN","2"
"malalaman","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"saturdays","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"usapan","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"common","2","0.003883495145631068","1.4422730222831182E-4","5.670766038399547E-4"," "," ",""," ","single","UNKNOWN","1"
"pcg_commandant","4","0.007766990291262136","2.8845460445662364E-4","7.342702160826237E-4"," "," ",""," ","ngram","agent","4"
"mv_mirola","36","0.06990291262135923","0.002596091440109613","0.0027037094897103776"," "," ",""," ","ngram","agent","18"
"ronnel_arambulo","4","0.007766990291262136","2.8845460445662364E-4","7.342702160826237E-4"," "," ",""," ","ngram","agent","4"
"matagal-tagal","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"kuhanin","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"natural_cost","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","ngram","agent","1"
"penalties","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","UNKNOWN","2"
