"conceptFrom","conceptTo","metaOntology","metaName","extractedType","frequency"
"Wednesday","Wednesday","","","date","2"
"1:10","1_10","","","time","1"
"Thursday","Thursday","","","date","7"
"July 25, 2024","July_25__2024","","","date","2"
