"conceptFrom","conceptTo","metaOntology","metaName","extractedType","frequency"
"Sunday","Sunday","","","date","1"
"July 25","July_25","","","date","4"
"Monday","Monday","","","date","4"
"July 23","July_23","","","date","1"
"July 29","July_29","","","date","1"
