"conceptFrom","conceptTo","metaOntology","metaName","extractedType","frequency"
"July 1999","July_1999","","","date","1"
"August 2013","August_2013","","","date","1"
"February 1998","February_1998","","","date","1"
"March 1999","March_1999","","","date","1"
"February 28","February_28","","","date","1"
"August 11, 2006","August_11__2006","","","date","1"
