"conceptFrom","conceptTo","metaOntology","metaName","extractedType","frequency"
"Sunday","Sunday","","","date","2"
"Saturday","Saturday","","","date","1"
"Sunday, July 28","Sunday__July_28","","","date","1"
"July 25","July_25","","","date","1"
"Saturday, July 27","Saturday__July_27","","","date","1"
