"conceptFrom","conceptTo","metaOntology","metaName","extractedType","frequency"
"Tuesday, July 30","Tuesday__July_30","","","date","1"
"Monday","Monday","","","date","4"
"Tuesday","Tuesday","","","date","1"
"Monday, July 29","Monday__July_29","","","date","2"
