"conceptFrom","conceptTo","metaOntology","metaName","extractedType","frequency"
"Saturday","Saturday","","","date","1"
"August 30","August_30","","","date","1"
"Wednesday","Wednesday","","","date","1"
"Thursday","Thursday","","","date","4"
