"conceptFrom","conceptTo","metaOntology","metaName","extractedType","frequency"
"Friday","Friday","","","date","1"
"Wednesday","Wednesday","","","date","1"
"Thursday","Thursday","","","date","3"
"February 2023","February_2023","","","date","1"
