"conceptFrom","conceptTo","metaOntology","metaName","extractedType","frequency"
"Thursday, July 25, 2024","Thursday__July_25__2024","","","date","2"
"1:10","1_10","","","time","3"
"Thursday","Thursday","","","date","6"
"February 28, 2023","February_28__2023","","","date","1"
