"conceptFrom","conceptTo","metaOntology","metaName","extractedType","frequency"
"Thursday, August 29","Thursday__August_29","","","date","1"
"Wednesday, August 28","Wednesday__August_28","","","date","1"
"Wednesday","Wednesday","","","date","3"
"July 25","July_25","","","date","2"
"August 22","August_22","","","date","1"
"Thursday","Thursday","","","date","2"
