"conceptFrom","conceptTo","metaOntology","metaName","extractedType","frequency"
"Wednesday, August 14","Wednesday__August_14","","","date","1"
"6:30 pm","6_30_pm","","","time","1"
"Wednesday","Wednesday","","","date","3"
"July 25","July_25","","","date","1"
"July 27","July_27","","","date","1"
"July 23","July_23","","","date","1"
"May 2024","May_2024","","","date","1"
"July 24","July_24","","","date","2"
