"conceptFrom","conceptTo","metaOntology","metaName","extractedType","frequency"
"Sunday","Sunday","","","date","2"
"Saturday","Saturday","","","date","1"
"Friday","Friday","","","date","1"
"July 25","July_25","","","date","1"
"5:40AM","5_40AM","","","time","1"
"5:40","5_40","","","time","1"
"July 26, 2024","July_26__2024","","","date","1"
"July 28, 2024","July_28__2024","","","date","1"
