"conceptFrom","conceptTo","metaOntology","metaName","extractedType","frequency"
"Monday, August 19","Monday__August_19","","","date","1"
"Friday","Friday","","","date","1"
"July 25","July_25","","","date","1"
"Monday","Monday","","","date","1"
"Friday, August 23","Friday__August_23","","","date","1"
"Thursday","Thursday","","","date","3"
"Thursday, August 22","Thursday__August_22","","","date","1"
