"conceptFrom","conceptTo","metaOntology","metaName","extractedType","frequency"
"Wednesday, August 14","Wednesday__August_14","","","date","1"
"1:10 am","1_10_am","","","time","1"
"Wednesday","Wednesday","","","date","3"
"July 25","July_25","","","date","1"
"Tuesday","Tuesday","","","date","2"
"Tuesday, August 13","Tuesday__August_13","","","date","2"
"August 1","August_1","","","date","1"
"August 4","August_4","","","date","1"
