"conceptFrom","conceptTo","metaOntology","metaName","extractedType","frequency"
"Thursday, July 25","Thursday__July_25","","","date","1"
"1:10 am","1_10_am","","","time","1"
"Friday","Friday","","","date","3"
"Friday, July 26","Friday__July_26","","","date","1"
"Thursday","Thursday","","","date","4"
"February 23, 2023","February_23__2023","","","date","1"
