"conceptFrom","conceptTo","metaOntology","metaName","extractedType","frequency"
"Friday","Friday","","","date","3"
"Wednesday","Wednesday","","","date","1"
"July 25","July_25","","","date","2"
"Friday, July 26, 2024","Friday__July_26__2024","","","date","2"
"Thursday","Thursday","","","date","3"
"February 2023","February_2023","","","date","1"
