"conceptFrom","conceptTo","metaOntology","metaName","extractedType","frequency"
"July 25","July_25","","","date","1"
"$ 6","__6","","","currency","1"
"Tuesday","Tuesday","","","date","1"
"Tuesday, August 13","Tuesday__August_13","","","date","1"
