"conceptFrom","conceptTo","metaOntology","metaName","extractedType","frequency"
"Saturday","Saturday","","","date","1"
"Wednesday","Wednesday","","","date","1"
"July 25","July_25","","","date","1"
"Tuesday","Tuesday","","","date","3"
"July 27","July_27","","","date","1"
