"conceptFrom","conceptTo","metaOntology","metaName","extractedType","frequency"
"Saturday","Saturday","","","date","1"
"July 31","July_31","","","date","1"
"July 25","July_25","","","date","1"
"Monday","Monday","","","date","2"
"Tuesday","Tuesday","","","date","1"
"July 26","July_26","","","date","1"
